latitude,longitude,brightness,acq_date,acq_time,daynight,type
6.3618,-75.5199,300.7,2024-01-01,305,N,0
6.3604,-75.5306,301.3,2024-01-01,305,N,0
9.9693,-73.9915,314.6,2024-01-01,1520,D,0
5.1634,-70.6311,313.7,2024-01-01,1522,D,0
5.1661,-70.6256,312.2,2024-01-01,1522,D,0
3.9274,-71.5937,306.1,2024-01-01,1522,D,0
4.581,-69.2121,313.8,2024-01-01,1807,D,0
6.2767,-67.7999,312.6,2024-01-01,1808,D,0
5.7604,-69.7148,308.4,2024-01-01,1808,D,0
5.7602,-69.7297,311.2,2024-01-01,1808,D,0
5.161,-70.652,315.5,2024-01-01,1808,D,0
5.1964,-67.9971,321.9,2024-01-01,1808,D,0
4.9701,-68.3795,322.1,2024-01-01,1808,D,0
4.9747,-68.3851,318.4,2024-01-01,1808,D,0
4.8604,-69.5257,307.6,2024-01-01,1808,D,0
4.8571,-69.5322,308.5,2024-01-01,1808,D,0
5.1889,-67.9907,315.8,2024-01-01,1808,D,0
5.1865,-68.0065,316.9,2024-01-01,1808,D,0
5.9068,-70.1988,329.6,2024-01-01,1808,D,0
5.9104,-70.176,326.9,2024-01-01,1808,D,0
11.124,-72.5802,313.2,2024-01-01,1809,D,0
3.4739,-71.9525,305.1,2024-01-02,206,N,0
3.4684,-71.9568,301.3,2024-01-02,206,N,0
4.8214,-68.5369,311.4,2024-01-02,625,N,0
3.3415,-72.8053,308.5,2024-01-02,626,N,0
5.7533,-69.1503,315.6,2024-01-02,1424,D,0
5.7518,-69.1392,314.6,2024-01-02,1424,D,0
4.4325,-68.8652,318.0,2024-01-02,1424,D,0
4.431,-68.855,308.5,2024-01-02,1424,D,0
3.3334,-72.1247,349.8,2024-01-02,1848,D,0
3.1745,-72.3898,314.7,2024-01-02,1848,D,0
3.1848,-72.3187,322.7,2024-01-02,1848,D,0
3.1861,-72.3098,314.3,2024-01-02,1848,D,0
3.1116,-72.1832,321.3,2024-01-02,1848,D,0
3.1129,-72.1743,326.7,2024-01-02,1848,D,0
3.0924,-72.2532,319.5,2024-01-02,1848,D,0
3.0732,-72.3231,314.2,2024-01-02,1848,D,0
2.8917,-72.4293,316.2,2024-01-02,1848,D,0
2.2471,-70.0399,320.6,2024-01-02,1848,D,0
3.3674,-73.1651,308.4,2024-01-02,1848,D,0
3.5276,-71.9194,325.6,2024-01-02,1848,D,0
3.5289,-71.9104,320.7,2024-01-02,1848,D,0
3.4567,-72.1575,319.9,2024-01-02,1848,D,0
3.3385,-72.1529,330.1,2024-01-02,1848,D,0
3.3397,-72.144,325.3,2024-01-02,1848,D,0
3.3295,-72.1516,326.1,2024-01-02,1848,D,0
3.3321,-72.1337,338.1,2024-01-02,1848,D,0
3.3308,-72.1427,332.1,2024-01-02,1848,D,0
6.7044,-72.1955,305.4,2024-01-02,1849,D,0
4.0109,-72.3388,312.5,2024-01-02,1849,D,0
4.1204,-71.515,323.7,2024-01-02,1849,D,0
4.0109,-71.4453,314.2,2024-01-02,1849,D,0
3.7308,-72.9381,320.9,2024-01-02,1849,D,0
3.7321,-72.9292,333.0,2024-01-02,1849,D,0
3.9377,-71.175,307.6,2024-01-02,1849,D,0
6.9829,-74.1615,307.0,2024-01-02,1849,D,0
4.7534,-70.1697,312.3,2024-01-02,1849,D,0
5.0359,-68.225,316.3,2024-01-02,1849,D,0
5.0338,-68.2402,314.5,2024-01-02,1849,D,0
4.9756,-71.9755,328.4,2024-01-02,1849,D,0
4.9743,-71.9847,333.0,2024-01-02,1849,D,0
5.3095,-69.774,317.8,2024-01-02,1849,D,0
4.6562,-74.9425,311.6,2024-01-02,1849,D,0
5.693,-68.6989,308.7,2024-01-02,1849,D,0
4.8861,-75.3206,316.4,2024-01-02,1849,D,1
5.7431,-69.891,314.8,2024-01-02,1849,D,0
6.0396,-70.03,310.6,2024-01-02,1849,D,0
6.038,-70.0418,305.7,2024-01-02,1849,D,0
6.1852,-70.1584,308.0,2024-01-02,1849,D,0
6.1669,-71.373,311.3,2024-01-02,1849,D,0
6.3694,-70.0095,312.6,2024-01-02,1849,D,0
6.3677,-70.0215,319.2,2024-01-02,1849,D,0
6.3511,-70.1397,307.4,2024-01-02,1849,D,0
10.3797,-74.3205,321.5,2024-01-02,1850,D,0
9.1856,-74.4242,317.1,2024-01-02,1850,D,0
8.8062,-74.0542,311.1,2024-01-02,1850,D,0
7.0965,-74.0107,313.7,2024-01-02,1850,D,0
7.0978,-74.0018,308.9,2024-01-02,1850,D,0
7.0136,-74.0804,309.0,2024-01-02,1850,D,0
3.2996,-72.1382,325.5,2024-01-03,247,N,0
5.3451,-69.196,306.4,2024-01-03,247,N,0
3.4624,-72.1583,303.1,2024-01-03,247,N,0
3.3009,-72.1291,323.3,2024-01-03,247,N,0
3.2971,-72.1565,308.9,2024-01-03,247,N,0
3.3099,-72.1304,323.0,2024-01-03,247,N,0
3.3189,-72.1317,310.5,2024-01-03,247,N,0
3.2984,-72.1474,330.5,2024-01-03,247,N,0
3.4637,-72.1492,301.1,2024-01-03,247,N,0
3.3116,-72.1191,302.5,2024-01-03,707,N,0
10.3794,-74.3179,323.6,2024-01-03,1503,D,0
10.9017,-74.6648,314.9,2024-01-03,1503,D,0
10.903,-74.6738,319.7,2024-01-03,1503,D,0
6.5768,-70.1285,315.0,2024-01-03,1504,D,0
6.2565,-70.6999,314.6,2024-01-03,1504,D,0
4.1772,-71.6273,320.2,2024-01-03,1505,D,0
4.9026,-70.1016,314.0,2024-01-03,1505,D,0
4.9005,-70.0869,315.1,2024-01-03,1505,D,0
4.762,-71.2359,332.7,2024-01-03,1505,D,0
4.6942,-70.7935,311.2,2024-01-03,1505,D,0
4.6819,-70.7954,314.9,2024-01-03,1505,D,0
4.4117,-70.6692,315.9,2024-01-03,1505,D,0
4.8955,-75.3176,321.3,2024-01-03,1505,D,1
4.1795,-71.6429,313.6,2024-01-03,1505,D,0
4.0081,-70.602,329.0,2024-01-03,1505,D,0
3.9546,-71.2935,318.5,2024-01-03,1505,D,0
3.9167,-71.6528,316.6,2024-01-03,1505,D,0
4.434,-75.3802,312.5,2024-01-03,1505,D,0
3.7013,-71.6807,320.8,2024-01-03,1505,D,0
3.54,-71.9064,317.4,2024-01-03,1505,D,0
3.5419,-71.9121,313.8,2024-01-03,1505,D,0
3.4651,-72.1727,314.2,2024-01-03,1505,D,0
3.463,-72.1581,334.7,2024-01-03,1505,D,0
3.3469,-72.1511,328.4,2024-01-03,1505,D,0
3.4619,-72.9959,315.2,2024-01-03,1505,D,0
3.46,-72.9832,309.0,2024-01-03,1505,D,0
2.7844,-73.7417,313.8,2024-01-03,1505,D,0
2.4495,-72.5341,317.0,2024-01-03,1505,D,0
1.4152,-75.8743,307.8,2024-01-03,1506,D,2
1.9088,-75.1566,315.1,2024-01-03,1506,D,2
6.494,-69.7679,314.2,2024-01-03,1753,D,0
6.301,-67.8063,321.6,2024-01-03,1753,D,0
6.2991,-67.8294,320.1,2024-01-03,1753,D,0
1.7274,-73.6936,321.2,2024-01-03,1929,D,0
3.8881,-72.7623,315.0,2024-01-03,1930,D,0
5.6118,-67.6954,306.4,2024-01-04,150,N,0
5.9864,-69.1182,306.1,2024-01-04,150,N,0
5.9806,-69.1551,312.1,2024-01-04,150,N,0
5.9683,-69.1598,304.1,2024-01-04,150,N,0
5.991,-69.1256,308.4,2024-01-04,150,N,0
5.985,-69.1625,319.4,2024-01-04,150,N,0
6.0017,-69.1652,315.7,2024-01-04,150,N,0
6.0061,-69.1711,307.1,2024-01-04,150,N,0
1.8062,-74.038,324.0,2024-01-04,327,N,0
1.8149,-74.0461,309.3,2024-01-04,327,N,0
1.8017,-74.0701,304.2,2024-01-04,327,N,0
1.799,-74.0436,320.2,2024-01-04,327,N,0
4.8726,-69.3348,311.8,2024-01-04,1407,D,0
4.416,-68.8646,329.2,2024-01-04,1407,D,0
5.7221,-67.7703,329.2,2024-01-04,1407,D,0
5.7186,-67.777,328.1,2024-01-04,1407,D,0
5.2086,-69.6541,314.7,2024-01-04,1407,D,0
5.2013,-69.636,312.8,2024-01-04,1407,D,0
3.8306,-71.6867,311.3,2024-01-04,1408,D,0
3.5076,-71.9588,323.0,2024-01-04,1833,D,0
3.5552,-71.8422,330.1,2024-01-04,1833,D,0
3.7021,-71.2064,318.4,2024-01-04,1833,D,0
3.7006,-71.2165,335.5,2024-01-04,1833,D,0
3.7116,-71.2079,321.0,2024-01-04,1833,D,0
3.7101,-71.2179,324.2,2024-01-04,1833,D,0
3.666,-71.5796,317.1,2024-01-04,1833,D,0
3.6644,-71.5901,321.3,2024-01-04,1833,D,0
3.7363,-71.1706,321.1,2024-01-04,1833,D,0
3.7349,-71.1806,332.9,2024-01-04,1833,D,0
3.7537,-71.1834,320.2,2024-01-04,1833,D,0
3.5588,-72.5771,319.0,2024-01-04,1833,D,0
3.8043,-70.9681,325.0,2024-01-04,1833,D,0
3.8029,-70.9779,334.6,2024-01-04,1833,D,0
3.8292,-71.3668,318.1,2024-01-04,1833,D,0
3.8277,-71.377,320.3,2024-01-04,1833,D,0
4.3831,-67.7987,326.0,2024-01-04,1833,D,0
3.9991,-70.8309,319.7,2024-01-04,1833,D,0
4.9857,-71.3205,322.4,2024-01-04,1833,D,0
4.9871,-71.3106,337.0,2024-01-04,1833,D,0
4.7545,-72.647,317.3,2024-01-04,1833,D,0
4.7572,-72.642,316.3,2024-01-04,1833,D,0
5.1152,-70.1343,354.8,2024-01-04,1833,D,0
4.4276,-70.6726,319.8,2024-01-04,1833,D,0
4.429,-70.6631,317.1,2024-01-04,1833,D,0
4.7731,-68.2987,325.2,2024-01-04,1833,D,0
4.3755,-70.8425,319.2,2024-01-04,1833,D,0
4.6993,-68.5482,325.6,2024-01-04,1833,D,0
4.7045,-68.5124,328.8,2024-01-04,1833,D,0
4.6891,-68.5559,324.6,2024-01-04,1833,D,0
1.2143,-74.3444,314.7,2024-01-04,1833,D,0
1.2116,-74.3625,316.3,2024-01-04,1833,D,0
1.3094,-74.495,313.1,2024-01-04,1833,D,0
1.3067,-74.5134,314.2,2024-01-04,1833,D,0
1.7255,-73.7085,317.0,2024-01-04,1833,D,0
1.7337,-73.7165,314.0,2024-01-04,1833,D,0
1.7554,-74.0499,321.4,2024-01-04,1833,D,0
1.7648,-74.0683,335.1,2024-01-04,1833,D,0
1.7517,-74.1919,312.6,2024-01-04,1833,D,0
1.787,-74.0426,323.3,2024-01-04,1833,D,0
1.7844,-74.0593,323.4,2024-01-04,1833,D,0
2.7799,-67.6071,320.0,2024-01-04,1833,D,0
2.0558,-73.879,319.4,2024-01-04,1833,D,0
2.0463,-73.943,319.2,2024-01-04,1833,D,0
2.7559,-69.1745,341.6,2024-01-04,1833,D,0
2.7546,-69.1834,322.0,2024-01-04,1833,D,0
2.4193,-73.7492,312.0,2024-01-04,1833,D,0
2.6084,-72.5632,312.2,2024-01-04,1833,D,0
2.7236,-71.994,315.7,2024-01-04,1833,D,0
2.722,-72.0055,313.6,2024-01-04,1833,D,0
2.6172,-72.8324,311.4,2024-01-04,1833,D,0
5.1166,-70.1252,326.3,2024-01-04,1833,D,0
4.8896,-71.6092,326.3,2024-01-04,1833,D,0
4.8912,-71.599,320.4,2024-01-04,1833,D,0
4.9347,-70.9203,321.1,2024-01-04,1833,D,0
4.9672,-70.4501,340.8,2024-01-04,1833,D,0
4.8233,-71.3653,318.6,2024-01-04,1833,D,0
4.8248,-71.3553,317.1,2024-01-04,1833,D,0
4.8154,-71.3539,319.5,2024-01-04,1833,D,0
4.9401,-70.4461,318.4,2024-01-04,1833,D,0
4.8228,-70.9851,316.4,2024-01-04,1833,D,0
4.8142,-70.9978,322.8,2024-01-04,1833,D,0
4.8156,-70.9882,326.6,2024-01-04,1833,D,0
5.0335,-69.4898,321.1,2024-01-04,1833,D,0
4.8049,-70.9965,325.4,2024-01-04,1833,D,0
4.7729,-71.1503,339.8,2024-01-04,1833,D,0
4.7743,-71.1405,348.1,2024-01-04,1833,D,0
4.7758,-71.1307,324.5,2024-01-04,1833,D,0
4.8908,-69.8347,325.3,2024-01-04,1833,D,0
4.8818,-69.8334,338.7,2024-01-04,1833,D,0
4.4384,-72.7834,336.9,2024-01-04,1833,D,0
4.7482,-70.6231,329.7,2024-01-04,1833,D,0
4.9581,-69.1828,335.5,2024-01-04,1833,D,0
4.9594,-69.1739,330.5,2024-01-04,1833,D,0
4.9505,-69.1726,333.3,2024-01-04,1833,D,0
4.7908,-69.9572,320.3,2024-01-04,1833,D,0
4.9299,-68.4906,321.8,2024-01-04,1833,D,0
4.9312,-68.4816,325.1,2024-01-04,1833,D,0
4.949,-68.0309,319.3,2024-01-04,1833,D,0
4.9503,-68.0217,319.3,2024-01-04,1833,D,0
4.6491,-69.9149,319.2,2024-01-04,1833,D,0
4.6505,-69.9059,320.4,2024-01-04,1833,D,0
4.7346,-69.3276,341.3,2024-01-04,1833,D,0
4.7427,-69.0214,319.2,2024-01-04,1833,D,0
4.5353,-70.3183,321.2,2024-01-04,1833,D,0
4.5366,-70.3092,321.3,2024-01-04,1833,D,0
4.5263,-70.317,322.4,2024-01-04,1833,D,0
4.402,-71.1004,324.6,2024-01-04,1833,D,0
4.6904,-68.547,328.1,2024-01-04,1833,D,0
4.3302,-70.8945,322.2,2024-01-04,1833,D,0
4.3316,-70.8849,323.4,2024-01-04,1833,D,0
4.4612,-69.9392,321.4,2024-01-04,1833,D,0
4.4625,-69.9302,336.8,2024-01-04,1833,D,0
4.4638,-69.9212,319.8,2024-01-04,1833,D,0
4.4821,-69.7957,327.2,2024-01-04,1833,D,0
4.4834,-69.7867,362.2,2024-01-04,1833,D,2
4.4522,-69.9379,320.7,2024-01-04,1833,D,0
4.4536,-69.9289,328.7,2024-01-04,1833,D,0
4.4745,-69.7854,325.3,2024-01-04,1833,D,0
4.6163,-68.6184,329.4,2024-01-04,1833,D,0
4.311,-70.528,318.2,2024-01-04,1833,D,0
4.3019,-70.5266,318.7,2024-01-04,1833,D,0
4.3033,-70.5173,318.7,2024-01-04,1833,D,0
4.3876,-69.9409,322.8,2024-01-04,1833,D,0
4.3889,-69.9319,322.1,2024-01-04,1833,D,0
4.45,-69.5122,322.1,2024-01-04,1833,D,0
4.3281,-70.2848,318.6,2024-01-04,1833,D,0
4.1749,-71.1954,342.9,2024-01-04,1833,D,0
4.1764,-71.1855,366.3,2024-01-04,1833,D,0
4.1655,-71.194,335.7,2024-01-04,1833,D,0
4.167,-71.1841,324.0,2024-01-04,1833,D,0
4.1275,-71.3835,317.3,2024-01-04,1833,D,0
4.129,-71.3733,318.1,2024-01-04,1833,D,0
4.3783,-69.6924,322.3,2024-01-04,1833,D,0
4.3796,-69.6835,329.7,2024-01-04,1833,D,0
4.1932,-70.7642,317.5,2024-01-04,1833,D,0
4.392,-69.3976,317.4,2024-01-04,1833,D,0
4.177,-70.8106,330.5,2024-01-04,1833,D,0
4.1784,-70.801,315.9,2024-01-04,1833,D,0
4.1837,-70.6368,325.9,2024-01-04,1833,D,0
4.0949,-71.0458,319.3,2024-01-04,1833,D,0
4.0964,-71.036,318.2,2024-01-04,1833,D,0
4.4143,-68.8674,320.9,2024-01-04,1833,D,0
4.4054,-68.8661,320.3,2024-01-04,1833,D,0
4.1836,-70.3226,320.5,2024-01-04,1833,D,0
4.1437,-70.5388,318.8,2024-01-04,1833,D,0
4.1748,-70.3251,319.7,2024-01-04,1833,D,0
4.3851,-68.8756,326.5,2024-01-04,1833,D,0
4.3864,-68.8667,340.5,2024-01-04,1833,D,0
4.1496,-70.4348,321.5,2024-01-04,1833,D,0
4.1818,-70.2135,316.1,2024-01-04,1833,D,0
3.9473,-71.6834,320.9,2024-01-04,1833,D,0
3.9376,-71.6819,322.3,2024-01-04,1833,D,0
4.0224,-71.11,317.9,2024-01-04,1833,D,0
4.0569,-70.7481,329.2,2024-01-04,1833,D,0
4.0046,-71.0369,317.6,2024-01-04,1833,D,0
4.0399,-70.7358,321.1,2024-01-04,1833,D,0
3.9209,-71.4659,323.4,2024-01-04,1833,D,0
3.9546,-71.2424,337.8,2024-01-04,1833,D,0
4.0491,-70.6111,318.7,2024-01-04,1833,D,0
3.9155,-71.4691,326.2,2024-01-04,1833,D,0
2.6152,-72.8454,314.0,2024-01-04,1833,D,0
2.447,-74.3392,312.1,2024-01-04,1833,D,0
2.4591,-74.341,326.0,2024-01-04,1833,D,0
3.1219,-70.2059,318.4,2024-01-04,1833,D,0
2.9037,-71.7468,315.4,2024-01-04,1833,D,0
3.4828,-67.9726,314.4,2024-01-04,1833,D,0
2.8431,-72.6298,312.5,2024-01-04,1833,D,0
2.948,-72.6124,317.0,2024-01-04,1833,D,0
3.7488,-67.6643,315.9,2024-01-04,1833,D,0
2.6468,-75.3632,312.7,2024-01-04,1833,D,0
3.8322,-67.7861,314.4,2024-01-04,1833,D,0
3.8308,-67.7953,318.0,2024-01-04,1833,D,0
3.8409,-67.9188,318.0,2024-01-04,1833,D,0
3.8395,-67.9279,333.8,2024-01-04,1833,D,0
3.2212,-72.4402,314.4,2024-01-04,1833,D,0
3.2185,-72.4463,316.7,2024-01-04,1833,D,0
3.6225,-70.3203,314.5,2024-01-04,1833,D,2
3.3567,-72.4854,317.0,2024-01-04,1833,D,0
3.5044,-71.7611,320.4,2024-01-04,1833,D,0
3.5079,-71.7572,316.8,2024-01-04,1833,D,0
3.5063,-71.7681,315.8,2024-01-04,1833,D,0
3.4978,-71.9572,345.9,2024-01-04,1833,D,0
3.5093,-71.9477,322.1,2024-01-04,1833,D,0
3.5568,-71.8313,359.5,2024-01-04,1833,D,0
7.3215,-74.4204,315.3,2024-01-04,1834,D,0
7.3156,-73.7234,312.8,2024-01-04,1834,D,0
5.0885,-71.0633,317.0,2024-01-04,1834,D,0
6.819,-71.0931,319.1,2024-01-04,1834,D,0
6.7974,-70.2335,317.6,2024-01-04,1834,D,0
6.1396,-74.4773,315.9,2024-01-04,1834,D,0
5.6854,-76.6514,308.4,2024-01-04,1834,D,2
6.4724,-70.6289,315.2,2024-01-04,1834,D,0
7.2028,-73.9951,313.1,2024-01-04,1834,D,0
6.9428,-74.34,316.3,2024-01-04,1834,D,0
6.1565,-71.3859,316.2,2024-01-04,1834,D,0
6.3435,-70.1266,316.2,2024-01-04,1834,D,0
5.9222,-69.851,348.4,2024-01-04,1834,D,0
5.9209,-69.8599,341.4,2024-01-04,1834,D,0
5.8869,-70.092,319.7,2024-01-04,1834,D,0
6.03,-69.2322,319.2,2024-01-04,1834,D,0
5.88,-70.4507,333.0,2024-01-04,1834,D,0
5.8787,-70.4598,344.1,2024-01-04,1834,D,0
5.889,-70.452,345.2,2024-01-04,1834,D,0
5.8877,-70.4611,339.9,2024-01-04,1834,D,0
6.1348,-69.4627,319.9,2024-01-04,1834,D,0
5.9133,-69.8497,327.2,2024-01-04,1834,D,0
5.8707,-70.0746,317.8,2024-01-04,1834,D,0
5.872,-70.0657,336.9,2024-01-04,1834,D,0
5.9781,-69.1463,323.9,2024-01-04,1834,D,0
5.3253,-73.4114,327.5,2024-01-04,1834,D,0
5.3271,-73.3992,321.8,2024-01-04,1834,D,0
5.9535,-68.8627,318.8,2024-01-04,1834,D,0
5.6527,-70.7429,314.5,2024-01-04,1834,D,0
5.4815,-70.9029,314.3,2024-01-04,1834,D,0
5.5453,-70.1544,317.2,2024-01-04,1834,D,0
5.7263,-68.7164,326.4,2024-01-04,1834,D,0
5.3645,-70.8252,314.9,2024-01-04,1834,D,0
5.3932,-70.4414,319.7,2024-01-04,1834,D,0
5.3946,-70.4322,324.3,2024-01-04,1834,D,0
5.3842,-70.44,324.4,2024-01-04,1834,D,0
5.3856,-70.4309,340.8,2024-01-04,1834,D,0
5.5136,-69.2918,334.3,2024-01-04,1834,D,0
5.5149,-69.283,327.4,2024-01-04,1834,D,0
5.4509,-69.5995,323.1,2024-01-04,1834,D,0
5.4407,-69.607,328.6,2024-01-04,1834,D,0
5.442,-69.5981,335.3,2024-01-04,1834,D,0
5.0524,-72.1703,322.9,2024-01-04,1834,D,0
5.0734,-71.7705,321.2,2024-01-04,1834,D,0
6.4524,-74.5346,314.6,2024-01-04,1834,D,0
8.3975,-73.8122,317.3,2024-01-04,1835,D,0
8.3348,-75.5967,315.5,2024-01-04,1835,D,0
9.8547,-74.8806,316.9,2024-01-04,1835,D,0
10.3797,-74.3172,322.6,2024-01-04,1835,D,0
4.4427,-72.7832,306.4,2024-01-05,230,N,0
4.4445,-72.7712,307.6,2024-01-05,230,N,0
4.4356,-72.7759,314.4,2024-01-05,230,N,0
4.2995,-70.8775,309.2,2024-01-05,230,N,0
4.3009,-70.8679,306.2,2024-01-05,230,N,0
4.2611,-70.501,313.1,2024-01-05,230,N,0
5.7186,-68.7153,324.4,2024-01-05,230,N,0
5.7198,-68.7063,306.9,2024-01-05,230,N,0
4.8968,-75.3187,301.4,2024-01-05,652,N,1
4.4362,-72.7722,310.5,2024-01-05,652,N,0
10.8893,-73.5197,322.8,2024-01-05,1446,D,0
10.8881,-73.511,336.1,2024-01-05,1446,D,0
7.9754,-73.559,310.7,2024-01-05,1447,D,0
6.5187,-70.2023,318.8,2024-01-05,1447,D,0
6.0204,-69.956,331.2,2024-01-05,1447,D,0
5.8641,-70.2721,327.6,2024-01-05,1448,D,0
5.8612,-70.2527,371.7,2024-01-05,1448,D,0
5.8598,-70.243,337.0,2024-01-05,1448,D,0
4.0023,-71.6028,315.2,2024-01-05,1448,D,0
3.9468,-71.0341,316.6,2024-01-05,1448,D,0
5.7182,-68.7035,318.6,2024-01-05,1448,D,0
5.8627,-70.2624,341.5,2024-01-05,1448,D,0
3.455,-72.082,326.9,2024-01-05,1448,D,0
3.5754,-72.9096,315.4,2024-01-05,1448,D,0
3.4866,-71.6059,311.6,2024-01-05,1448,D,0
3.6549,-71.4955,313.6,2024-01-05,1448,D,0
3.6563,-71.5046,313.4,2024-01-05,1448,D,0
3.8634,-71.8544,319.0,2024-01-05,1448,D,0
3.8647,-71.8633,338.6,2024-01-05,1448,D,0
3.8743,-71.8559,322.4,2024-01-05,1448,D,0
3.9504,-71.8178,325.5,2024-01-05,1448,D,0
3.9517,-71.8267,345.8,2024-01-05,1448,D,0
3.953,-71.8357,315.3,2024-01-05,1448,D,0
3.951,-71.5641,317.2,2024-01-05,1448,D,0
3.9481,-71.0435,323.0,2024-01-05,1448,D,0
3.9821,-70.8945,316.5,2024-01-05,1448,D,0
4.4308,-72.7696,333.9,2024-01-05,1448,D,0
4.432,-72.7784,339.6,2024-01-05,1448,D,0
4.4396,-72.7683,326.7,2024-01-05,1448,D,0
4.4409,-72.7771,317.7,2024-01-05,1448,D,0
4.295,-70.6397,316.5,2024-01-05,1448,D,0
4.3042,-70.6384,320.5,2024-01-05,1448,D,0
4.2475,-70.1209,313.3,2024-01-05,1448,D,0
4.6424,-72.6939,312.2,2024-01-05,1448,D,0
4.3984,-70.8424,316.0,2024-01-05,1448,D,0
4.6688,-71.4859,316.9,2024-01-05,1448,D,0
4.616,-71.0657,352.0,2024-01-05,1448,D,0
4.6174,-71.075,355.1,2024-01-05,1448,D,0
4.6251,-71.0644,317.1,2024-01-05,1448,D,0
4.6918,-70.6364,320.5,2024-01-05,1448,D,0
4.5876,-69.8575,313.2,2024-01-05,1448,D,0
4.6799,-70.4905,321.8,2024-01-05,1448,D,0
5.2139,-72.63,310.6,2024-01-05,1448,D,0
5.2356,-71.4503,325.4,2024-01-05,1448,D,0
5.2369,-71.4593,327.3,2024-01-05,1448,D,0
5.2445,-71.449,326.1,2024-01-05,1448,D,0
5.2458,-71.458,336.0,2024-01-05,1448,D,0
5.0414,-69.4497,314.0,2024-01-05,1448,D,0
5.3339,-70.9884,314.1,2024-01-05,1448,D,0
5.3352,-70.9976,314.6,2024-01-05,1448,D,0
5.4963,-69.2737,316.4,2024-01-05,1448,D,0
5.8534,-70.2637,363.5,2024-01-05,1448,D,0
5.8549,-70.2734,345.9,2024-01-05,1448,D,0
3.2451,-75.8326,313.2,2024-01-05,1914,D,0
1.6404,-74.1916,305.9,2024-01-05,1914,D,0
3.1277,-72.4788,320.3,2024-01-05,1914,D,0
3.1244,-72.4858,327.3,2024-01-05,1914,D,0
3.4056,-72.8171,325.4,2024-01-05,1914,D,0
3.4028,-72.8373,321.3,2024-01-05,1914,D,0
3.4186,-72.8189,320.1,2024-01-05,1914,D,0
4.0459,-71.5086,322.0,2024-01-05,1914,D,0
4.5066,-71.3537,323.9,2024-01-05,1915,D,0
4.4323,-72.776,316.6,2024-01-05,1915,D,0
4.6876,-71.3628,321.1,2024-01-05,1915,D,0
4.7025,-71.3648,325.3,2024-01-05,1915,D,0
4.7924,-70.935,315.4,2024-01-05,1915,D,0
4.9403,-70.7164,318.1,2024-01-05,1915,D,0
5.2528,-70.2299,314.8,2024-01-05,1915,D,0
5.2482,-70.2018,316.0,2024-01-05,1915,D,0
5.2647,-70.2039,338.9,2024-01-05,1915,D,0
4.8893,-75.3217,319.3,2024-01-05,1915,D,1
4.6742,-70.4125,306.6,2024-01-06,311,N,0
4.6673,-70.417,303.0,2024-01-06,311,N,0
5.0195,-69.7814,301.7,2024-01-06,311,N,0
6.3666,-70.0079,302.8,2024-01-06,311,N,0
9.8573,-73.5521,318.1,2024-01-06,1527,D,0
9.8615,-73.578,316.4,2024-01-06,1527,D,0
10.499,-75.1454,318.5,2024-01-06,1527,D,0
9.8642,-73.572,320.5,2024-01-06,1527,D,0
10.5004,-75.1395,316.2,2024-01-06,1527,D,0
3.4611,-72.454,310.6,2024-01-06,1529,D,0
4.4327,-75.2283,310.7,2024-01-06,1529,D,2
2.9056,-69.0758,316.4,2024-01-06,1817,D,0
4.9648,-70.5146,316.9,2024-01-06,1818,D,0
5.0249,-69.8212,316.0,2024-01-06,1818,D,0
5.043,-69.6279,321.7,2024-01-06,1818,D,0
6.6155,-69.8993,314.0,2024-01-06,1818,D,0
6.5902,-70.1317,316.6,2024-01-06,1818,D,0
4.7607,-70.9582,320.0,2024-01-06,1818,D,0
5.1493,-68.0486,328.7,2024-01-06,1818,D,0
4.6606,-71.1208,319.4,2024-01-06,1818,D,0
4.6692,-71.1153,325.3,2024-01-06,1818,D,0
4.7788,-70.3084,315.9,2024-01-06,1818,D,0
4.5528,-71.7111,315.1,2024-01-06,1818,D,0
5.0563,-68.1815,324.3,2024-01-06,1818,D,0
4.8483,-69.4095,317.6,2024-01-06,1818,D,0
5.014,-68.1972,351.0,2024-01-06,1818,D,0
5.0157,-68.1864,344.8,2024-01-06,1818,D,0
5.0115,-68.2024,335.7,2024-01-06,1818,D,0
5.0131,-68.1916,369.2,2024-01-06,1818,D,0
4.839,-69.2965,318.2,2024-01-06,1818,D,0
4.9542,-68.3852,321.3,2024-01-06,1818,D,0
4.7916,-69.3953,319.1,2024-01-06,1818,D,0
4.5781,-70.711,315.8,2024-01-06,1818,D,0
4.7809,-69.3937,333.4,2024-01-06,1818,D,0
4.4675,-71.3388,321.9,2024-01-06,1818,D,0
4.7561,-69.4842,320.1,2024-01-06,1818,D,0
4.455,-71.3369,319.5,2024-01-06,1818,D,0
4.9576,-67.8718,321.6,2024-01-06,1818,D,0
4.7377,-68.3974,323.9,2024-01-06,1818,D,0
4.7394,-68.3862,333.4,2024-01-06,1818,D,0
4.5531,-69.1426,322.5,2024-01-06,1818,D,0
4.1562,-71.6449,319.0,2024-01-06,1818,D,0
4.5445,-69.1283,326.6,2024-01-06,1818,D,0
4.5949,-68.7966,316.3,2024-01-06,1818,D,0
4.4161,-69.8212,322.8,2024-01-06,1818,D,0
4.405,-69.8194,324.6,2024-01-06,1818,D,0
4.4049,-69.8142,323.6,2024-01-06,1818,D,0
4.4258,-69.6736,316.2,2024-01-06,1818,D,0
