latitude,longitude,brightness,acq_date,acq_time,daynight,type
41.1373,22.6132,305.3,2024-01-13,1148,D,0
41.4597,22.6106,303.2,2024-01-30,1203,D,0
41.8804,22.4545,302.4,2024-01-30,1203,D,0
41.8753,22.419,310.6,2024-01-30,1203,D,0
41.8686,22.3717,300.5,2024-01-30,1203,D,0
42.1936,21.8026,315.3,2024-01-30,1203,D,0
41.2917,20.8035,300.9,2024-02-03,1132,D,0
42.1926,21.8061,301.7,2024-02-04,1213,D,0
41.8968,22.4676,307.7,2024-02-04,1213,D,0
41.8984,22.4811,311.8,2024-02-04,1213,D,0
41.4726,22.5893,305.0,2024-02-04,1213,D,0
41.4742,22.6028,311.2,2024-02-04,1213,D,0
41.2728,21.0964,300.2,2024-02-04,1213,D,0
41.4637,22.7578,305.4,2024-02-04,1213,D,0
41.4232,22.7929,309.3,2024-02-06,1157,D,0
41.2831,21.5038,300.5,2024-02-06,1157,D,0
41.4936,22.6439,312.6,2024-02-06,1157,D,0
41.8519,22.2649,328.3,2024-02-06,1157,D,0
41.8795,22.3821,303.1,2024-02-06,1157,D,0
41.8941,21.6294,303.4,2024-02-08,1142,D,0
41.2772,21.0859,304.5,2024-02-08,1142,D,0
41.3858,22.762,308.9,2024-02-08,1142,D,0
40.9304,21.5177,306.6,2024-02-08,1142,D,0
41.9064,22.4284,304.4,2024-02-08,1142,D,2
41.8871,22.3834,308.2,2024-02-08,1142,D,0
41.8902,22.3996,306.3,2024-02-08,1142,D,0
41.0108,21.0111,309.7,2024-02-09,1223,D,0
41.0205,21.0092,308.3,2024-02-09,1223,D,0
41.8331,22.25,325.7,2024-02-09,1223,D,0
41.8314,22.233,310.8,2024-02-09,1223,D,0
41.8677,22.4109,320.7,2024-02-14,1233,D,0
41.4663,21.5461,300.5,2024-02-15,1136,D,0
41.1619,21.4659,304.7,2024-02-16,1217,D,0
41.2626,21.102,302.3,2024-02-16,1217,D,0
41.2119,20.7026,305.1,2024-02-16,1217,D,0
41.2701,21.0872,307.3,2024-02-16,1217,D,0
41.3836,20.8091,311.5,2024-02-16,1217,D,0
41.8636,20.97,300.9,2024-02-16,1217,D,0
41.8334,21.5006,303.7,2024-02-17,918,D,0
41.6327,21.6491,323.1,2024-02-18,1201,D,0
41.6345,21.6609,310.2,2024-02-18,1201,D,0
41.8377,20.9492,303.7,2024-02-18,1201,D,0
41.8179,21.0525,300.5,2024-02-18,1201,D,0
41.8973,21.556,314.7,2024-02-18,1201,D,0
41.8991,21.5679,311.0,2024-02-18,1201,D,0
41.7494,20.6865,320.2,2024-02-18,1201,D,0
41.8056,22.0458,300.1,2024-02-18,1201,D,0
41.8074,22.0576,304.7,2024-02-18,1201,D,0
41.6899,21.7134,303.5,2024-02-18,1201,D,0
41.4293,21.2385,305.5,2024-02-18,1201,D,0
41.4572,21.5306,301.1,2024-02-18,1201,D,0
41.4163,21.5114,300.4,2024-02-18,1201,D,0
41.3619,21.4016,305.1,2024-02-18,1201,D,0
41.236,20.6851,305.8,2024-02-18,1201,D,0
41.2381,20.6976,311.9,2024-02-18,1201,D,0
41.3123,21.4962,321.7,2024-02-18,1201,D,0
42.029,21.0978,322.7,2024-02-18,1202,D,0
41.2562,21.293,302.3,2024-02-19,901,D,0
41.2223,21.5581,303.4,2024-02-19,1242,D,0
41.1901,21.4786,302.0,2024-02-19,1242,D,0
41.5704,21.721,302.9,2024-02-22,1130,D,0
41.8949,22.5053,304.1,2024-02-23,1211,D,0
42.0182,21.0706,307.9,2024-02-23,1211,D,0
41.4298,22.8086,314.3,2024-02-27,1139,D,0
42.1429,21.6508,300.4,2024-03-05,1133,D,0
41.4994,21.9664,308.3,2024-03-08,1158,D,0
41.5014,21.9787,319.6,2024-03-08,1158,D,0
41.1329,21.5533,311.4,2024-03-15,1152,D,0
41.8131,21.9688,318.8,2024-03-17,915,D,0
41.1997,21.4567,304.1,2024-03-18,1217,D,0
41.8891,22.5096,307.1,2024-03-20,938,D,0
41.8989,22.4717,310.1,2024-03-20,938,D,0
41.8928,22.3782,304.0,2024-03-20,938,D,0
41.4096,22.8617,312.0,2024-03-20,1201,D,0
42.0493,21.0882,302.5,2024-03-20,1201,D,0
42.0513,21.1007,302.7,2024-03-20,1201,D,0
41.8723,22.4359,314.3,2024-03-20,1201,D,0
41.8741,22.4477,303.1,2024-03-20,1201,D,0
41.7563,21.8085,302.1,2024-03-20,1201,D,0
41.1293,20.8171,300.8,2024-03-20,1201,D,2
41.9375,21.1952,303.2,2024-03-23,1226,D,0
41.8195,21.3626,324.6,2024-03-24,904,D,0
41.7906,20.8537,306.9,2024-03-24,904,D,0
41.8198,21.3733,302.5,2024-03-24,1129,D,0
41.814,21.3493,303.0,2024-03-24,1129,D,0
42.067,20.8331,319.2,2024-03-30,1219,D,0
41.64,22.2093,313.5,2024-03-30,1219,D,0
41.1844,21.2025,311.8,2024-03-30,1219,D,0
41.1047,21.3049,308.2,2024-03-30,1219,D,0
41.0603,21.1854,321.4,2024-04-01,1203,D,0
41.0623,21.1977,334.8,2024-04-01,1203,D,0
41.7152,21.0449,304.8,2024-04-02,836,D,0
41.3468,21.7925,312.0,2024-04-02,1244,D,0
41.28,21.5958,356.8,2024-04-02,1244,D,0
41.2826,21.5763,314.3,2024-04-02,1244,D,0
41.2844,21.6007,330.9,2024-04-02,1244,D,0
41.2693,21.5764,312.4,2024-04-02,1244,D,0
41.2711,21.6012,340.8,2024-04-02,1244,D,0
41.7347,20.8911,312.5,2024-04-02,1244,D,0
41.7438,21.0145,304.5,2024-04-02,1244,D,0
41.6648,21.0065,311.8,2024-04-02,1244,D,0
41.807,20.8525,303.1,2024-04-02,1941,N,0
41.8097,20.8672,310.3,2024-04-02,1941,N,0
41.7143,21.0395,327.0,2024-04-03,1147,D,0
41.7101,21.0184,340.6,2024-04-03,1147,D,0
41.7065,21.0466,303.2,2024-04-04,819,D,0
41.9341,21.0696,310.5,2024-04-04,1228,D,0
41.7984,21.4116,307.9,2024-04-04,1228,D,0
41.7157,21.0253,313.8,2024-04-04,1228,D,0
41.565,20.9466,315.9,2024-04-04,1228,D,0
41.2202,20.6854,312.0,2024-04-04,1228,D,0
41.9358,21.0856,309.9,2024-04-04,1228,D,0
42.2268,21.5018,316.7,2024-04-05,859,D,0
41.5292,20.5463,316.9,2024-04-05,1131,D,0
42.2235,21.4908,313.5,2024-04-06,1212,D,0
41.9368,22.3847,314.5,2024-04-07,1947,N,0
41.9387,22.3967,303.8,2024-04-07,1947,N,0
41.942,22.3952,302.8,2024-04-08,51,N,0
41.5065,20.4729,304.8,2024-04-08,923,D,0
42.2,21.4864,311.7,2024-04-08,1156,D,0
41.7112,20.9005,312.4,2024-04-08,1156,D,0
41.7138,20.9145,312.8,2024-04-08,1156,D,0
41.5095,20.4882,310.7,2024-04-08,1156,D,0
40.9832,21.4238,312.7,2024-04-10,906,D,0
42.1937,21.4912,305.6,2024-04-10,2010,N,0
41.9721,22.5464,318.4,2024-04-11,1221,D,0
41.6833,20.5457,307.8,2024-04-12,848,D,0
41.6818,20.5577,311.5,2024-04-12,848,D,0
40.9412,21.2968,315.8,2024-04-13,1205,D,0
40.9425,21.2896,308.3,2024-04-14,831,D,0
42.0481,20.9448,310.1,2024-04-14,1246,D,0
40.9384,21.2824,312.3,2024-04-15,911,D,0
42.048,20.9535,320.9,2024-04-15,911,D,0
42.0506,20.9389,315.9,2024-04-15,911,D,0
42.0519,20.9445,322.1,2024-04-15,911,D,0
40.9332,21.2765,313.0,2024-04-15,1149,D,0
41.2394,22.4914,304.3,2024-04-24,843,D,0
41.248,22.4994,305.1,2024-04-24,843,D,0
41.3492,21.5269,308.0,2024-04-27,906,D,2
41.7949,20.9089,306.0,2024-04-27,906,D,2
41.6481,21.5569,306.1,2024-04-29,848,D,0
41.0228,21.4845,317.0,2024-05-05,1222,D,0
42.0413,21.3931,322.3,2024-06-17,902,D,0
41.2771,22.4952,341.8,2024-06-19,1153,D,0
41.2742,22.4797,330.9,2024-06-19,1153,D,0
41.6054,21.8632,329.0,2024-06-22,907,D,0
41.5999,21.8637,338.2,2024-06-22,1217,D,0
41.8951,21.9822,306.5,2024-06-22,2012,N,0
41.9823,22.2077,325.0,2024-06-26,832,D,0
41.9807,22.2218,327.0,2024-06-26,832,D,0
41.3824,21.5298,321.1,2024-06-30,935,D,0
41.5195,22.6436,320.2,2024-06-30,935,D,0
41.5185,22.6491,333.8,2024-06-30,1248,D,0
41.3851,21.5414,331.6,2024-06-30,1248,D,0
41.3833,21.5179,324.8,2024-06-30,1248,D,0
41.387,21.5337,331.2,2024-06-30,1248,D,0
41.3134,22.5016,323.4,2024-07-04,1214,D,0
41.977,21.6224,324.2,2024-07-07,1238,D,0
41.3394,21.5396,324.5,2024-07-08,1141,D,2
41.2572,20.7094,342.9,2024-07-09,1221,D,0
41.6495,21.82,330.9,2024-07-10,807,D,0
41.6637,21.8195,334.3,2024-07-10,807,D,0
41.5421,22.159,359.3,2024-07-10,1124,D,0
41.5344,22.1673,383.2,2024-07-10,1124,D,0
41.5228,22.1239,349.0,2024-07-10,1124,D,2
41.5306,22.1166,327.5,2024-07-10,1124,D,0
41.6563,21.8087,336.5,2024-07-10,1124,D,0
41.6413,21.8175,337.2,2024-07-10,1124,D,0
41.6497,21.8161,340.8,2024-07-10,1124,D,0
41.6345,21.8242,334.3,2024-07-10,1124,D,0
41.6564,21.8156,326.2,2024-07-10,1302,D,0
41.6406,21.815,336.6,2024-07-10,1302,D,0
41.5261,22.1841,396.4,2024-07-10,1302,D,0
41.5242,22.1423,378.1,2024-07-10,1302,D,2
41.5422,22.1826,346.4,2024-07-10,1302,D,0
41.5403,22.1411,341.3,2024-07-10,1302,D,0
41.5172,22.1805,387.2,2024-07-10,1302,D,0
41.5155,22.1383,351.1,2024-07-10,1302,D,2
41.5332,22.1789,378.8,2024-07-10,1302,D,0
41.5316,22.1372,353.1,2024-07-10,1302,D,0
41.5493,22.1774,323.7,2024-07-10,1302,D,0
41.6294,21.8235,324.2,2024-07-10,1302,D,0
41.6374,21.7994,308.1,2024-07-10,1912,N,0
41.4805,22.1747,318.7,2024-07-10,1912,N,0
41.4932,22.1697,325.0,2024-07-10,1912,N,0
41.487,22.1422,307.5,2024-07-10,1912,N,0
41.5059,22.1645,317.4,2024-07-10,1912,N,0
41.5374,22.1825,311.2,2024-07-10,1912,N,0
41.5027,22.1603,325.2,2024-07-10,1912,N,0
41.5409,22.2066,306.8,2024-07-10,1912,N,0
41.5345,22.1781,306.9,2024-07-10,1912,N,0
41.6292,21.8081,309.4,2024-07-10,1912,N,0
41.5462,22.1887,303.0,2024-07-11,59,N,0
41.5415,22.1974,346.0,2024-07-11,847,D,0
41.6315,21.826,338.1,2024-07-11,1204,D,0
41.6336,21.8386,335.8,2024-07-11,1204,D,0
41.5433,22.1927,397.7,2024-07-11,1204,D,0
41.5455,22.2055,381.9,2024-07-11,1204,D,0
41.5343,22.1954,349.2,2024-07-11,1204,D,0
41.5364,22.2082,344.3,2024-07-11,1204,D,0
41.4961,22.1866,365.5,2024-07-11,1204,D,0
