latitude,longitude,brightness,acq_date,acq_time,daynight,type
41.4196,21.9424,324.9,2012-01-01,952,D,2
41.4228,21.9262,313.0,2012-01-01,952,D,2
41.4199,21.9385,310.8,2012-01-01,1132,D,2
41.4245,21.9324,300.6,2012-01-02,1215,D,2
41.4204,21.9411,300.4,2012-01-02,2002,N,2
41.4236,21.9414,317.6,2012-01-03,14,N,2
41.4329,21.9355,307.7,2012-01-03,14,N,2
41.4194,21.9395,308.5,2012-01-03,939,D,2
41.4271,21.9347,318.4,2012-01-03,939,D,2
41.4211,21.937,311.9,2012-01-03,2045,N,2
41.4301,21.9262,314.7,2012-01-04,57,N,2
41.4269,21.9425,342.3,2012-01-04,57,N,2
41.4149,21.939,303.2,2012-01-04,1022,D,2
41.4204,21.947,302.1,2012-01-04,1022,D,2
41.4265,21.9365,306.6,2012-01-05,927,D,2
41.4175,21.9343,304.1,2012-01-05,927,D,2
41.4226,21.9301,300.3,2012-01-12,2039,N,2
41.4204,21.9359,337.5,2012-01-13,51,N,2
41.43,21.9392,308.9,2012-01-13,51,N,2
41.4261,21.9436,313.8,2012-01-13,1157,D,2
41.4245,21.9277,328.5,2012-01-13,1157,D,2
41.4248,21.9336,332.2,2012-01-15,39,N,2
41.423,21.9454,316.5,2012-01-15,39,N,2
41.4166,21.9402,306.2,2012-01-15,1004,D,2
41.3074,22.551,301.3,2012-01-15,1144,D,0
41.4273,21.9364,301.4,2012-01-16,909,D,2
41.4222,21.9425,302.4,2012-01-17,951,D,2
41.4254,21.9423,305.5,2012-01-17,1132,D,2
41.4235,21.9301,317.0,2012-01-17,1132,D,2
41.429,21.938,302.7,2012-01-19,14,N,2
41.427,21.9422,302.1,2012-01-19,939,D,2
41.4235,21.9335,307.2,2012-01-19,1120,D,2
41.4256,21.9307,335.7,2012-01-21,2033,N,2
41.4273,21.9425,313.8,2012-01-21,2033,N,2
41.4235,21.9475,314.7,2012-01-22,45,N,2
41.4318,21.9424,313.5,2012-01-22,45,N,2
41.4256,21.935,332.0,2012-01-22,45,N,2
41.4216,21.9324,315.9,2012-01-28,933,D,2
41.4197,21.9354,307.0,2012-01-28,1114,D,2
41.4183,21.929,302.1,2012-01-31,1003,D,2
41.196,20.7177,333.2,2012-01-31,1144,D,0
41.1977,20.7295,320.7,2012-01-31,1144,D,0
41.4312,21.9302,303.3,2012-02-21,57,N,2
41.428,21.9466,326.8,2012-02-21,57,N,2
41.4226,21.9251,319.8,2012-02-23,1151,D,2
41.4242,21.9387,327.6,2012-02-23,1151,D,2
41.4216,21.9402,309.5,2012-02-25,958,D,2
41.2484,22.6318,303.6,2012-02-25,1139,D,0
41.4177,21.9351,310.3,2012-02-25,1139,D,2
41.4195,21.9349,306.0,2012-02-29,2039,N,2
41.4279,21.9337,303.8,2012-03-01,51,N,2
41.4289,22.7832,305.1,2012-03-01,1157,D,0
41.4209,21.9331,339.6,2012-03-01,1157,D,2
41.4246,21.9392,333.2,2012-03-03,39,N,2
41.8653,22.4144,301.9,2012-03-03,1004,D,0
41.3095,22.5363,304.6,2012-03-03,1145,D,0
41.3079,22.5236,309.3,2012-03-03,1145,D,0
41.1244,21.7265,306.4,2012-03-03,1145,D,0
41.8752,22.2012,302.8,2012-03-03,1145,D,0
41.8769,22.2141,308.9,2012-03-03,1145,D,0
41.8998,22.4732,306.3,2012-03-03,1145,D,0
41.9014,22.4861,305.9,2012-03-03,1145,D,0
41.7594,21.9355,303.5,2012-03-03,1145,D,0
41.4261,21.9295,315.5,2012-03-03,1145,D,2
41.234,22.6632,304.5,2012-03-03,1145,D,0
41.417,21.9315,317.8,2012-03-03,1145,D,2
41.2356,22.6761,310.5,2012-03-03,1145,D,0
41.4881,22.1201,308.2,2012-03-03,1145,D,0
41.4977,21.9767,306.4,2012-03-03,1145,D,0
41.4202,21.9477,304.8,2012-03-04,909,D,2
41.4662,22.6007,302.5,2012-03-04,909,D,0
41.422,21.9296,306.4,2012-03-04,909,D,2
41.4281,21.9422,307.9,2012-03-04,2015,N,2
41.4252,21.9267,314.0,2012-03-04,2015,N,2
41.4266,21.9374,305.4,2012-03-14,21,N,2
41.4315,22.7514,302.9,2012-03-14,945,D,0
41.8605,22.343,304.0,2012-03-14,945,D,0
42.0566,21.0961,313.7,2012-03-14,1126,D,0
41.015,21.0159,302.8,2012-03-14,1126,D,0
41.4236,21.9363,315.5,2012-03-16,933,D,2
41.7886,21.9727,304.1,2012-03-16,933,D,0
41.7904,21.9608,307.4,2012-03-16,933,D,0
41.4149,22.8567,311.1,2012-03-16,1114,D,0
41.4201,21.9348,309.5,2012-03-16,1114,D,2
41.9245,21.8806,319.9,2012-03-16,1114,D,0
41.4046,22.8603,305.7,2012-03-16,1114,D,0
41.423,21.9354,327.6,2012-03-16,2039,N,2
41.4272,21.9476,301.7,2012-03-17,51,N,2
41.204,20.817,301.3,2012-03-17,1016,D,0
41.4183,21.9362,315.0,2012-03-17,1157,D,2
41.1971,20.6666,306.6,2012-03-17,1157,D,0
41.1998,20.6748,306.5,2012-03-17,1157,D,0
41.862,22.2293,317.1,2012-03-17,1157,D,0
41.8845,22.3481,308.0,2012-03-17,1157,D,0
41.4253,21.9284,314.3,2012-03-17,1157,D,2
41.4224,21.9476,311.4,2012-03-18,921,D,2
41.4934,21.9894,309.7,2012-03-18,921,D,0
41.424,21.9345,335.0,2012-03-18,921,D,2
41.8899,22.2133,312.7,2012-03-18,1102,D,0
41.8983,22.4287,308.5,2012-03-18,1102,D,0
41.886,22.4337,311.2,2012-03-18,1102,D,0
41.8866,22.4377,310.0,2012-03-18,1102,D,0
41.4248,21.9423,311.6,2012-03-18,2027,N,2
41.4229,21.9301,323.7,2012-03-18,2027,N,2
41.4287,21.9385,305.7,2012-03-19,39,N,2
41.3075,20.8224,307.9,2012-03-19,1004,D,0
41.4273,21.9355,317.2,2012-03-19,1004,D,2
42.0544,21.0919,313.1,2012-03-19,1004,D,0
42.0586,22.4925,302.0,2012-03-19,1004,D,0
41.9072,22.3251,311.0,2012-03-19,1004,D,0
41.4274,21.9294,313.2,2012-03-19,1004,D,2
41.6481,21.6643,311.7,2012-03-19,1004,D,0
42.0498,21.1135,309.6,2012-03-19,1004,D,0
41.6429,21.6882,309.5,2012-03-19,1004,D,0
41.8081,22.2355,317.4,2012-03-19,1145,D,0
41.4195,21.9245,319.4,2012-03-19,1145,D,2
41.4211,21.9368,337.5,2012-03-19,1145,D,2
41.7287,21.5475,323.4,2012-03-19,1145,D,0
41.3562,21.1695,311.0,2012-03-19,1145,D,0
41.7973,22.2249,318.6,2012-03-19,1145,D,0
41.9728,21.2318,321.1,2012-03-19,1145,D,0
41.1783,20.687,316.9,2012-03-19,1145,D,0
41.9007,22.2048,312.2,2012-03-20,909,D,0
41.9038,22.2124,314.1,2012-03-20,909,D,0
41.3125,21.1149,303.6,2012-03-20,1050,D,0
41.3004,21.0697,310.9,2012-03-20,1050,D,0
41.3016,21.1107,308.0,2012-03-20,1050,D,0
41.2898,21.0676,307.0,2012-03-20,1050,D,0
41.4252,21.9327,338.1,2012-03-20,2014,N,2
41.4239,21.9391,300.3,2012-03-21,27,N,2
41.4236,21.9355,320.9,2012-03-21,951,D,2
42.211,21.6309,307.1,2012-03-21,951,D,0
41.5519,20.4909,315.4,2012-03-21,1133,D,0
42.203,21.621,316.3,2012-03-21,1133,D,0
41.5496,20.4774,321.4,2012-03-21,1133,D,0
41.9555,21.5166,314.4,2012-03-21,1133,D,0
41.4184,21.9367,326.2,2012-03-21,1133,D,2
41.3602,22.5773,314.9,2012-03-21,1133,D,0
41.4336,22.5766,314.5,2012-03-21,1133,D,0
41.9905,21.7377,315.8,2012-03-21,1133,D,0
41.9847,21.7011,314.5,2012-03-21,1133,D,0
41.9828,21.689,313.7,2012-03-21,1133,D,0
41.4296,21.943,320.8,2012-03-22,110,N,2
41.4262,21.9219,310.9,2012-03-22,856,D,2
41.427,21.9425,319.3,2012-03-22,856,D,2
41.4243,21.9495,315.7,2012-03-22,856,D,2
41.4215,21.912,314.2,2012-03-22,1216,D,2
41.6955,22.0823,335.1,2012-03-22,1216,D,0
41.6861,22.0784,333.0,2012-03-22,1216,D,0
41.7001,22.0775,323.2,2012-03-22,1216,D,0
41.4664,21.9661,321.4,2012-03-22,1216,D,0
41.4718,21.962,325.5,2012-03-22,1216,D,0
41.6167,22.7417,308.2,2012-03-22,1216,D,0
41.6983,22.0472,324.5,2012-03-22,1216,D,0
41.6199,22.7327,306.5,2012-03-22,1216,D,0
41.4234,21.942,316.4,2012-03-22,1216,D,2
41.6935,22.0523,327.6,2012-03-22,1216,D,0
42.0122,21.0447,307.2,2012-03-23,939,D,0
41.7361,22.0017,314.7,2012-03-23,939,D,0
41.6285,21.4107,328.2,2012-03-23,939,D,0
41.7094,22.0465,318.3,2012-03-23,939,D,0
42.0515,21.551,317.0,2012-03-23,939,D,0
41.816,21.6325,307.9,2012-03-23,939,D,0
41.4224,21.9378,317.9,2012-03-23,939,D,2
41.288,20.8288,309.8,2012-03-23,1120,D,0
41.7087,22.0414,324.3,2012-03-23,1120,D,0
41.4174,21.9312,321.2,2012-03-23,1120,D,2
41.7728,22.8557,312.1,2012-03-23,1120,D,0
41.7398,21.983,316.0,2012-03-23,1120,D,0
41.7425,21.9976,317.7,2012-03-23,1120,D,0
41.6902,22.0542,328.3,2012-03-23,1120,D,0
41.7061,22.6608,308.4,2012-03-23,1120,D,0
41.7326,22.0009,318.3,2012-03-23,1120,D,0
41.3057,20.8039,310.2,2012-03-23,1120,D,0
41.3091,20.8211,305.9,2012-03-23,1120,D,0
41.4217,21.9332,314.2,2012-03-23,2045,N,2
41.2469,21.2123,311.7,2012-03-24,1203,D,0
41.8884,22.4632,310.2,2012-03-24,1203,D,0
41.4224,21.9441,304.6,2012-03-25,2,N,2
41.4236,21.9358,316.3,2012-03-25,1108,D,2
41.4199,21.9423,314.2,2012-03-25,1108,D,2
41.4271,21.939,307.8,2012-03-26,45,N,2
41.3055,22.4939,307.0,2012-03-26,1010,D,0
41.7953,20.8861,312.7,2012-03-26,1010,D,0
41.3031,22.4878,305.6,2012-03-26,1010,D,0
41.4734,20.4882,312.4,2012-03-26,1151,D,0
42.1303,21.1081,309.4,2012-03-26,1151,D,0
42.018,22.4997,309.0,2012-03-26,1151,D,0
41.5975,22.4592,308.2,2012-03-26,1151,D,0
41.4351,21.941,303.3,2012-03-27,128,N,2
41.0986,21.6424,309.2,2012-03-27,915,D,0
41.7359,21.7567,311.8,2012-03-27,915,D,0
41.4206,21.9404,322.2,2012-03-27,915,D,2
41.6951,22.626,304.1,2012-03-27,1056,D,0
41.7007,22.6204,308.4,2012-03-27,1056,D,0
41.709,22.6231,301.9,2012-03-27,1056,D,0
41.8642,21.8073,313.3,2012-03-28,957,D,0
41.8775,21.7974,308.5,2012-03-28,957,D,0
41.424,21.9405,311.6,2012-03-28,957,D,2
41.0113,21.0332,324.8,2012-03-28,958,D,0
41.0111,21.0267,324.6,2012-03-28,958,D,0
41.0075,21.0448,318.8,2012-03-28,958,D,0
41.0123,21.0292,314.1,2012-03-28,1139,D,0
41.8654,21.7981,315.4,2012-03-28,1139,D,0
41.8759,21.8076,321.2,2012-03-28,1139,D,0
41.8743,21.7958,325.1,2012-03-28,1139,D,0
41.9347,21.7612,315.8,2012-03-28,1139,D,0
